Run number,Date,Temp / °,Notes
166,<2018-03-07 Wed 05:44>,-,
170,<2018-03-14 Wed 05:35>,-,
172,<2018-03-15 Thu 05:29>,-,
174,<2018-03-16 Fri 05:30>,-,
176,<2018-03-17 Sat 05:25>,-,
178,<2018-03-18 Sun 05:24>,-,
178,<2018-03-19 Mon 05:22>,-,
178,<2018-03-20 Tue 05:16>,-,
178,<2018-03-21 Wed 05:15>,-,
178,<2018-03-22 Thu 05:12>,-,
180,<2018-03-23 Fri 05:12>,-,
180,<2018-03-24 Sat 05:17>,-,
182,<2018-03-25 Sun 06:07>,-,
182,<2018-03-26 Mon 06:07>,-,
240,<2018-10-22 Mon 06:38>,48.27,Begin of Run 3 period
242,<2018-10-23 Tue 06:38>,48.61,
244,<2018-10-24 Wed 06:45>,48.70,
246,<2018-10-25 Thu 06:47>,49.83,
248,<2018-10-26 Fri 06:47>,49.37,
250,<2018-10-27 Sat 06:46>,47.55,
252,<2018-10-28 Sun 05:40>,47.16,
254,<2018-10-29 Mon 05:55>,45.77,
256,<2018-10-30 Tue 05:33>,45.56,
258,<2018-11-01 Thu 05:50>,46.15,
261,<2018-11-02 Fri 06:10>,46.65,
261,<2018-11-03 Sat 05:53>,47.02,
261,<2018-11-04 Sun 06:14>,47.97,
263,<2018-11-05 Mon 06:14>,47.94,
265,<2018-11-06 Tue 05:53>,47.27,
268,<2018-11-09 Fri 06:00>,47.66,
270,<2018-11-10 Sat 06:04>,48.39,
270,<2018-11-11 Sun 06:11>,48.43,
272,<2018-11-12 Mon 06:10>,48.69,
272,<2018-11-13 Tue 06:04>,48.59,
272,<2018-11-14 Wed 06:10>,48.96,
274,<2018-11-15 Thu 06:10>,48.57,
274,<2018-11-16 Fri 06:07>,48.60,
274,<2018-11-17 Sat 06:03>,47.98,
276,<2018-11-18 Sun 06:05>,47.70,
276,<2018-11-19 Mon 06:10>,47.36,
278,<2018-11-24 Sat 06:22>,46.60,
279,<2018-11-25 Sun 06:29>,46.74,
279,<2018-11-26 Mon 06:26>,46.67,
281,<2018-11-27 Tue 06:20>,46.57,
283,<2018-11-29 Thu 06:22>,46.31,
283,<2018-11-30 Fri 06:26>,46.76,
283,<2018-12-01 Sat 06:29>,46.83,
285,<2018-12-02 Sun 06:26>,46.75,
285,<2018-12-03 Mon 06:28>,46.62,
287,<2018-12-05 Wed 06:28>,47.10,
289,<2018-12-06 Thu 06:29>,47.44,
291,<2018-12-07 Fri 06:31>,46.23,
291,<2018-12-08 Sat 06:35>,46.13,
293,<2018-12-09 Sun 06:32>,46.02,
293,<2018-12-10 Mon 06:32>,45.78,
295,<2018-12-11 Tue 06:33>,45.41,
297,<2018-12-12 Wed 06:37>,44.38,
297,<2018-12-13 Thu 06:35>,44.50,
298,<2018-12-14 Fri 06:40>,44.74,
299,<2018-12-15 Sat 06:43>,44.50,
301,<2018-12-16 Sun 06:41>,44.44,
301,<2018-12-17 Mon 06:26>,45.03,
303,<2018-12-18 Tue 06:52>,44.69,
306,<2018-12-20 Thu 06:30>,40.04,
